Farm,Date,Year,Week,FeedThru,FeedThruType,FlyTreat,FlyTreatType,Pyrethroid,Pyrethrin,IGR,Ivermectin,Grazing,RotFreqDays,Other,Calamosternus granarius,Colobopterus erraticus,Aphodius fimetarius,Otophorus haemorrhoidalis,Oscarinus rusicola,Alloblackburneus rubeolus,Acrossus rubripennis,Chilothorax distinctus,Teuchestes fossor,Labarrus lividus,Blackburneus stercorosus,Ataenius strigatus,Trichonotulus scrofa,Eupleurus subterraneus,Onthophagus taurus,Onthophagus pensylvannicus,Onthophagus nuchicornis,Onthophagus hecate,AbAll,AbDB,AbNonDB,AbHist,AbHydro,AbHySmall,AbHyLarge,AbStaph,Richness (db),Weather,Windy,Temperature,HornFliesAvg,FaceFliesAvg,StableFliesAvg,GPS
Turner,29-Jul,2022,13,N,N,N,N,N,N,N,N,Rotational,2,,0,7,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,77,13,64,1,57,4,53,6,3,S,,88,116,68,,"42.22686594127726, -76.99705251164634"
Kuipers,29-Jul,2022,13,Y,Rabon,N,N,N,N,N,N,Rotational,1.5,,0,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,17,7,10,3,4,0,4,3,4,S,,68,21,36,,"42.652410995744475, -78.24775957397635"
Honeyhill,28-Jul,2022,13,N,N,N,N,N,N,N,N,Rotational,0.5,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,32,0,32,0,32,0,2,PC,Y,76,100,47,,"42.7876199,-77.6811557"
Rugenstein,28-Jul,2022,13,Y,Clarifly,Y,permethrin,N,Y,N,N,Rotational,3,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,2,3,0,3,0,3,0,2,C,N,80,12,5,,"43.06299375705573, -77.30374234638641"
Eisele,28-Jul,2022,13,N,N,N,N,N,N,N,N,Rotational,2,,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,6,80,0,80,0,80,0,2,S,,67,9,11,,"42.158070, -74.802461"
Shephard,28-Jul,2022,13,Y,Rabon,N,N,N,N,N,N,Continuous,30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,9,2,7,0,0,S,,70,7,8,,"42.322393, -74.891982"
Chaseholm,1-Aug,2022,14,N,N,N,N,N,N,N,N,Rotational,2.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,2,6,0,6,3,3,0,1,S,,89,,,,"41.98788599305552, -73.61780360369838"
Wallbridge,1-Aug,2022,14,Y,Clarifly,Y,permethrin,N,Y,N,Y,Continuous,30,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,0,4,0,4,1,1,C,,87,146,75.2,,"41.774997612249, -73.6515655461982"
JohnK,3-Aug,2022,14,N,N,N,N,N,N,N,N,Continuous,30,,0,6,0,8,0,0,0,0,0,7,3,1,0,0,4,3,0,0,70,32,38,3,31,3,28,4,7,S,Y,88,200,13.6,,"42.40061728166515, -73.99420583068292"
Boone,3-Aug,2022,14,Y,Clarifly,N,N,N,N,N,N,Continuous,30,,1,0,1,5,0,1,0,0,0,0,2,0,0,0,0,0,0,0,59,10,49,1,48,6,42,0,5,,,,,,,"42.54463393478293, -74.03369647630593"
Turner,4-Aug,2022,14,N,N,N,N,N,N,N,N,Rotational,2,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,8,0,5,2,3,3,1,R,,76,126,86,,"42.22686594127726, -76.99705251164634"
Kuipers,4-Aug,2022,14,Y,Rabon,N,N,N,N,N,N,Rotational,1.5,,0,2,1,6,0,0,0,0,0,0,0,2,0,0,7,0,0,0,30,18,12,4,5,0,5,3,5,C,,76,37.5,23.8,,"42.652410995744475, -78.24775957397635"
Honeyhill,4-Aug,2022,14,N,N,N,N,N,N,N,N,Rotational,0.5,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,51,2,49,1,48,1,47,0,2,C,N,77,120,50,,"42.7876199,-77.6811557"
Rugenstein,4-Aug,2022,14,Y,Clarifly,Y,permethrin,N,Y,N,N,Rotational,3,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,23,0,22,8,14,1,1,C,N,80,13,8,,"43.06299375705573, -77.30374234638641"
Eisele,4-Aug,2022,14,N,N,N,N,N,N,N,N,Rotational,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0,21,0,21,0,0,S,,70,60,30,,"42.158070, -74.802461"
Shephard,4-Aug,2022,14,Y,Rabon,N,N,N,N,N,N,Continuous,30,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,2,50,0,46,1,45,4,2,S,,70,8,6,,"42.322393, -74.891982"
Chaseholm,9-Aug,2022,15,N,N,N,N,N,N,N,N,Rotational,2.5,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,3,4,1,3,0,3,0,2,S,,87,136,62.8,,"41.98788599305552, -73.61780360369838"
Wallbridge,8-Aug,2022,15,Y,Clarifly,Y,permethrin,N,Y,N,Y,Continuous,30,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,6,0,6,0,6,0,2,S,,80,225,51,,"41.774997612249, -73.6515655461982"
JohnK,8-Aug,2022,15,N,N,N,N,N,N,N,N,Continuous,30,,0,0,0,41,27,0,0,0,0,0,3,12,0,0,1,3,0,1,125,88,37,0,33,3,30,4,7,S,Y,88,190,7,,"42.40061728166515, -73.99420583068292"
Boone,8-Aug,2022,15,Y,Clarifly,N,N,N,N,N,N,Continuous,30,,0,0,0,27,5,0,0,0,0,0,1,1,0,0,2,0,0,0,54,36,18,4,12,2,10,2,5,C,N,82,98,3,,"42.54463393478293, -74.03369647630593"
Turner,11-Aug,2022,15,N,N,N,N,N,N,N,N,Rotational,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,44,0,44,0,44,0,0,S,,84,130,52,,"42.22686594127726, -76.99705251164634"
Kuipers,11-Aug,2022,15,Y,Rabon,N,N,N,N,N,N,Rotational,1.5,,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,1,1,1,0,0,3,S,,73,32,13,,"42.652410995744475, -78.24775957397635"
Honeyhill,11-Aug,2022,15,N,N,N,N,N,N,N,N,Rotational,0.5,,0,1,0,3,1,0,0,0,0,0,0,0,0,0,6,0,0,0,26,11,15,0,13,2,11,2,4,S,N,72,136,56,,"42.7876199,-77.6811557"
Rugenstein,11-Aug,2022,15,Y,Clarifly,Y,permethrin,N,Y,N,N,Rotational,3,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,4,5,0,3,0,3,2,2,S,N,76,14,7,,"43.06299375705573, -77.30374234638641"
Eisele,11-Aug,2022,15,N,N,N,N,N,N,N,N,Rotational,2,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,61,6,55,0,52,10,42,3,2,S,,65,58,48,,"42.158070, -74.802461"
Shephard,11-Aug,2022,15,Y,Rabon,N,N,N,N,N,N,Continuous,30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,S,,75,65,34,,"42.322393, -74.891982"
Chaseholm,18-Aug,2022,16,N,N,N,N,N,N,N,N,Rotational,2.5,,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,23,5,18,5,13,2,11,0,4,S,,88,,,,"41.98788599305552, -73.61780360369838"
Wallbridge,15-Aug,2022,16,Y,Clarifly,Y,permethrin,N,Y,N,Y,Continuous,30,,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,20,3,17,0,16,1,15,1,2,S,,89,,,,"41.774997612249, -73.6515655461982"
JohnK,19-Aug,2022,16,N,N,N,N,N,N,N,N,Continuous,30,,0,1,0,0,3,1,0,0,0,0,1,6,0,0,3,0,0,1,31,16,15,1,13,0,13,1,7,S,N,85,230,9,,"42.40061728166515, -73.99420583068292"
Boone,19-Aug,2022,16,Y,Clarifly,N,N,N,N,N,N,Continuous,30,,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,1,97,15,82,0,80,13,67,2,3,PC,N,79,80,10.2,,"42.54463393478293, -74.03369647630593"
Turner,18-Aug,2022,16,N,N,N,N,N,N,N,N,Rotational,2,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,48,7,41,0,37,0,37,4,2,S,,82,64,34,,"42.22686594127726, -76.99705251164634"
Kuipers,18-Aug,2022,16,Y,Rabon,N,N,N,N,N,N,Rotational,1.5,,0,1,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,9,1,1,0,0,0,0,3,S,,82,33,9,,"42.652410995744475, -78.24775957397635"
Honeyhill,18-Aug,2022,16,N,N,N,N,N,N,N,N,Rotational,0.5,,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,8,4,0,3,0,3,1,2,C,N,75,23,22,,"42.7876199,-77.6811557"
Rugenstein,18-Aug,2022,16,Y,Clarifly,Y,permethrin,N,Y,N,N,Rotational,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,1,19,0,18,17,1,1,1,C,N,80,,,,"43.06299375705573, -77.30374234638641"
Eisele,19-Aug,2022,16,N,N,N,N,N,N,N,N,Rotational,2,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,27,6,21,0,19,0,19,2,2,S,,80,21,13,,"42.158070, -74.802461"
Shephard,19-Aug,2022,16,Y,Rabon,N,N,N,N,N,N,Continuous,30,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,6,0,4,0,4,2,1,S,,80,60,30,,"42.322393, -74.891982"
Chaseholm,23-Aug,2022,17,N,N,N,N,N,N,N,N,Rotational,2.5,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,3,2,1,0,1,S,,90,,,,"41.98788599305552, -73.61780360369838"
Wallbridge,22-Aug,2022,17,Y,Clarifly,Y,permethrin,N,Y,N,Y,Continuous,30,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,6,0,6,0,6,0,1,S,,90,126.6,37.6,,"41.774997612249, -73.6515655461982"
JohnK,23-Aug,2022,17,N,N,N,N,N,N,N,N,Continuous,30,,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,20,5,15,0,15,7,8,0,3,,,,,,,"42.40061728166515, -73.99420583068292"
Boone,23-Aug,2022,17,Y,Clarifly,N,N,N,N,N,N,Continuous,30,,0,0,0,9,2,0,0,0,0,0,5,0,0,0,3,0,0,1,70,20,50,0,50,6,44,0,5,,,,,,,"42.54463393478293, -74.03369647630593"
Turner,25-Aug,2022,17,N,N,N,N,N,N,N,N,Rotational,2,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,24,6,18,1,17,1,16,0,2,S,,85,104,29,,"42.22686594127726, -76.99705251164634"
Kuipers,25-Aug,2022,17,Y,Rabon,N,N,N,N,N,N,Rotational,1.5,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,1,1,0,0,1,S,,74,48,38,,"42.652410995744475, -78.24775957397635"
Honeyhill,25-Aug,2022,17,N,N,N,N,N,N,N,N,Rotational,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,2,0,2,0,2,0,1,C,N,70,41,23,,"42.7876199,-77.6811557"
Rugenstein,25-Aug,2022,17,Y,Clarifly,Y,permethrin,N,Y,N,N,Rotational,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,2,6,1,2,2,0,3,1,S,N,76,18,14,,"43.06299375705573, -77.30374234638641"
Eisele,25-Aug,2022,17,N,N,N,N,N,N,N,N,Rotational,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,1,2,0,0,S,,80,10,15,,"42.158070, -74.802461"
Shephard,25-Aug,2022,17,Y,Rabon,N,N,N,N,N,N,Continuous,30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,19,5,14,1,0,S,,80,60,29,,"42.322393, -74.891982"
Chaseholm,29-Aug,2022,18,N,N,N,N,N,N,N,N,Rotational,2.5,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,2,0,2,2,0,0,2,S,,80,,,,"41.98788599305552, -73.61780360369838"
Wallbridge,29-Aug,2022,18,Y,Clarifly,Y,permethrin,N,Y,N,Y,Continuous,30,,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,6,3,0,3,1,2,0,2,S,,80,137.8,41.2,,"41.774997612249, -73.6515655461982"
JohnK,31-Aug,2022,18,N,N,N,N,N,N,N,N,Continuous,30,,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,0,0,0,20,17,3,1,0,0,0,2,3,S,Y,72,300,7,,"42.40061728166515, -73.99420583068292"
Boone,31-Aug,2022,18,Y,Clarifly,N,N,N,N,N,N,Continuous,30,,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,10,6,0,5,2,3,1,2,S,Y,65,240,10,,"42.54463393478293, -74.03369647630593"
Turner,31-Aug,2022,18,N,N,N,N,N,N,N,N,Rotational,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0,7,1,6,12,0,S,,74,116,66,,"42.22686594127726, -76.99705251164634"
Kuipers,31-Aug,2022,18,Y,Rabon,N,N,N,N,N,N,Rotational,1.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,,68,66,29,,"42.652410995744475, -78.24775957397635"
Honeyhill,1-Sep,2022,18,N,N,N,N,N,N,N,N,Rotational,0.5,,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,5,4,1,0,0,0,0,1,3,S,Y,55,37,30,,"42.7876199,-77.6811557"
Rugenstein,1-Sep,2022,18,Y,Clarifly,Y,permethrin,N,Y,N,N,Rotational,3,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,8,0,8,7,1,0,1,S,Y,66,20,16,,"43.06299375705573, -77.30374234638641"
Eisele,1-Sep,2022,18,N,N,N,N,N,N,N,N,Rotational,2,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,2,2,0,0,1,S,,60,5.4,5,,"42.158070, -74.802461"
Shephard,1-Sep,2022,18,Y,Rabon,N,N,N,N,N,N,Continuous,30,,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,21,0,16,6,10,5,2,S,,60,65,20,,"42.322393, -74.891982"
Chaseholm,5-Sep,2022,19,N,N,N,N,N,N,N,N,Rotational,2.5,,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,1,1,1,0,0,2,S,,75,182.8,51.4,,"41.98788599305552, -73.61780360369838"
Wallbridge,5-Sep,2022,19,Y,Clarifly,Y,permethrin,N,Y,N,Y,Continuous,30,,0,0,0,4,0,0,0,0,0,21,0,0,0,0,0,0,0,0,44,25,19,0,7,1,6,12,2,S,,75,170.8,51.4,,"41.774997612249, -73.6515655461982"
JohnK,8-Sep,2022,19,N,N,N,N,N,N,N,N,Continuous,30,,0,0,1,5,0,0,0,0,0,3,0,0,0,0,1,0,0,2,57,12,45,0,23,8,15,22,5,S,N,76,300,7,,"42.40061728166515, -73.99420583068292"
Boone,8-Sep,2022,19,Y,Clarifly,N,N,N,N,N,N,Continuous,30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38,1,37,1,35,5,30,1,1,S,N,72,210,7.2,,"42.54463393478293, -74.03369647630593"
Turner,8-Sep,2022,19,N,N,N,N,N,N,N,N,Rotational,2,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,3,1,2,1,1,PC,,73,144,57,,"42.22686594127726, -76.99705251164634"
Kuipers,8-Sep,2022,19,Y,Rabon,N,N,N,N,N,N,Rotational,1.5,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,2,1,C,,65,58,18,,"42.652410995744475, -78.24775957397635"
Honeyhill,8-Sep,2022,19,N,N,N,N,N,N,N,N,Rotational,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,3,0,0,0,0,3,1,C,N,60,20,10,,"42.7876199,-77.6811557"
Rugenstein,8-Sep,2022,19,Y,Clarifly,Y,permethrin,N,Y,N,N,Rotational,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,3,0,1,0,,,48,,,,"43.06299375705573, -77.30374234638641"
Eisele,7-Sep,2022,19,N,N,N,N,N,N,N,N,Rotational,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,C,,65,6,7,,"42.158070, -74.802461"
Shephard,7-Sep,2022,19,Y,Rabon,N,N,N,N,N,N,Continuous,30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8,2,6,0,0,C,,65,180,20,,"42.322393, -74.891982"
Chaseholm,12-Sep,2022,20,N,N,N,N,N,N,N,N,Rotational,2.5,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,5,2,0,1,1,0,1,2,S,,72,116.8,32,,"41.98788599305552, -73.61780360369838"
Wallbridge,12-Sep,2022,20,Y,Clarifly,Y,permethrin,N,Y,N,Y,Continuous,30,,0,0,0,7,2,0,0,0,0,0,2,0,0,0,0,0,0,0,17,11,6,0,3,0,3,3,3,S,,72,105.2,37.8,,"41.774997612249, -73.6515655461982"
JohnK,14-Sep,2022,20,N,N,N,N,N,N,N,N,Continuous,30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,19,0,19,18,1,0,1,,,,,,,"42.40061728166515, -73.99420583068292"
Boone,14-Sep,2022,20,Y,Clarifly,N,N,N,N,N,N,Continuous,30,,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,36,11,25,0,25,15,10,0,2,S,N,62,230,2.4,,"42.54463393478293, -74.03369647630593"
Turner,15-Sep,2022,20,N,N,N,N,N,N,N,N,Rotational,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,16,6,10,0,0,S,,65,46,28,,"42.22686594127726, -76.99705251164634"
Kuipers,15-Sep,2022,20,Y,Rabon,N,N,N,N,N,N,Rotational,1.5,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,6,0,5,5,0,1,1,S,,55,28,3,,"42.652410995744475, -78.24775957397635"
Honeyhill,15-Sep,2022,20,N,N,N,N,N,N,N,N,Rotational,0.5,,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,7,2,5,2,3,0,2,PC,Y,44,0,0,,"42.7876199,-77.6811557"
Rugenstein,15-Sep,2022,20,Y,Clarifly,Y,permethrin,N,Y,N,N,Rotational,3,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,3,3,0,0,1,S,N,50,0,0,,"43.06299375705573, -77.30374234638641"
Eisele,15-Sep,2022,20,N,N,N,N,N,N,N,N,Rotational,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,,53,5,5,,"42.158070, -74.802461"
Shephard,15-Sep,2022,20,Y,Rabon,N,N,N,N,N,N,Continuous,30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,22,2,20,0,19,6,13,1,2,S,,53,44,10,,"42.322393, -74.891982"
Chaseholm,19-Sep,2022,21,N,N,N,N,N,N,N,N,Rotational,2.5,,0,0,0,6,0,0,0,0,0,0,0,1,0,0,2,0,0,0,10,9,1,0,1,0,1,0,3,S,,62,71.4,21.2,,"41.98788599305552, -73.61780360369838"
Wallbridge,19-Sep,2022,21,Y,Clarifly,Y,permethrin,N,Y,N,Y,Continuous,30,,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,12,4,8,0,1,1,0,7,2,S,,62,68.2,26.6,,"41.774997612249, -73.6515655461982"
JohnK,22-Sep,2022,21,N,N,N,N,N,N,N,N,Continuous,30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,49,0,48,42,6,1,0,S,N,62,340,5.2,,"42.40061728166515, -73.99420583068292"
Boone,22-Sep,2022,21,Y,Clarifly,N,N,N,N,N,N,Continuous,30,,0,0,1,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,73,8,65,0,60,36,24,5,3,S,N,62,,,,"42.54463393478293, -74.03369647630593"
Turner,22-Sep,2022,21,N,N,N,N,N,N,N,N,Rotational,2,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,3,0,3,0,1,PC,,63,106,11,,"42.22686594127726, -76.99705251164634"
Kuipers,22-Sep,2022,21,Y,Rabon,N,N,N,N,N,N,Rotational,1.5,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,9,0,9,9,0,0,1,S,,57,10,0,,"42.652410995744475, -78.24775957397635"
Honeyhill,22-Sep,2022,21,N,N,N,N,N,N,N,N,Rotational,0.5,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,5,0,5,0,5,0,1,,,,,,,"42.7876199,-77.6811557"
Rugenstein,22-Sep,2022,21,Y,Clarifly,Y,permethrin,N,Y,N,N,Rotational,3,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,7,0,7,7,0,0,1,C,,,,,,"43.06299375705573, -77.30374234638641"
Eisele,22-Sep,2022,21,N,N,N,N,N,N,N,N,Rotational,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,1,2,0,0,C,,55,4,5,,"42.158070, -74.802461"
Shephard,22-Sep,2022,21,Y,Rabon,N,N,N,N,N,N,Continuous,30,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,15,0,12,10,2,3,1,C,,49,10,0,,"42.322393, -74.891982"
Chaseholm,26-Sep,2022,22,N,N,N,N,N,N,N,N,Rotational,2.5,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,2,12,0,11,5,6,1,2,,,,,,,"41.98788599305552, -73.61780360369838"
Wallbridge,26-Sep,2022,22,Y,Clarifly,Y,permethrin,N,Y,N,Y,Continuous,30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,"41.774997612249, -73.6515655461982"
JohnK,27-Sep,2022,22,N,N,N,N,N,N,N,N,Continuous,30,,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,32,4,28,1,27,20,7,0,3,S,N,62,220,3.4,,"42.40061728166515, -73.99420583068292"
Boone,27-Sep,2022,22,Y,Clarifly,N,N,N,N,N,N,Continuous,30,,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,30,6,24,0,24,11,13,0,4,S,N,60,112,4.6,,"42.54463393478293, -74.03369647630593"
Turner,29-Sep,2022,22,N,N,N,N,N,N,N,N,Rotational,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,1,1,0,0,S,,56,47,5,,"42.22686594127726, -76.99705251164634"
Kuipers,29-Sep,2022,22,Y,Rabon,N,N,N,N,N,N,Rotational,1.5,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,32,3,29,0,29,29,0,0,2,C,,48,2,0,,"42.652410995744475, -78.24775957397635"
Honeyhill,29-Sep,2022,22,N,N,N,N,N,N,N,N,Rotational,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,0,0,0,PC,N,48,0,0,,"42.7876199,-77.6811557"
Rugenstein,29-Sep,2022,22,Y,Clarifly,Y,permethrin,N,Y,N,N,Rotational,3,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,2,2,0,2,2,0,0,2,,,,,,,"43.06299375705573, -77.30374234638641"
Eisele,29-Sep,2022,22,N,N,N,N,N,N,N,N,Rotational,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,,50,2.6,4,,"42.158070, -74.802461"
Shephard,29-Sep,2022,22,Y,Rabon,N,N,N,N,N,N,Continuous,30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,S,,50,6,2,,"42.322393, -74.891982"
